Protein,Layer
A0A075B6V1,18
A0A075B767,10
A0A0G2JMI3,10
A0A804HIB5,25
A0A8V8TLY5,6
A5D8W1,10
A6NGH7,28
A6NGW2,10
A6NKF7,25
B1AJZ9,10
O14512,10
O14513,17
O15244,10
O15287,6
O43248,8
O75648,10
O94911,10
O95415,10
O95936,10
P08588,10
P0C860,16
P0DTF9,11
P10600,14
P10997,10
P11177,10
P15863,10
P17031,16
P20338,10
P20472,9
P25089,10
P28702,10
P31267,8
P49589,11
P52630,10
P56747,9
P78415,8
P84243,10
Q01955,18
Q02577,10
Q06055,10
Q10713,10
Q13117,10
Q13118,8
Q13151,10
Q14344,10
Q14542,10
Q14766,11
Q15276,25
Q15466,10
Q15650,10
Q16143,14
Q3SXY8,10
Q49AS3,16
Q5BN46,17
Q5M9N0,28
Q5SSG8,11
Q5T764,6
Q5VV67,9
Q659A1,10
Q68CJ9,11
Q6NSW7,8
Q7Z6K3,10
Q86VQ1,14
Q86X27,10
Q86XA9,11
Q8IWN6,29
Q8IYT4,10
Q8N8F6,11
Q8N9B4,6
Q8ND90,11
Q8NFR7,13
Q8NGF3,10
Q8NGJ8,10
Q8TAI7,10
Q8TDY4,11
Q8WTW3,11
Q8WUY1,9
Q8WV24,10
Q92617,10
Q92813,10
Q96GM5,10
Q96IU4,10
Q96JE9,10
Q96P44,10
Q9BRA2,10
Q9BSH3,10
Q9BU19,10
Q9BVJ7,10
Q9BXS6,11
Q9BYR6,21
Q9H0H0,11
Q9H313,11
Q9H8S5,10
Q9H9C1,11
Q9HA64,9
Q9HA77,11
Q9P0W2,11
Q9UBC2,8
Q9UL42,11
Q9UN30,10
A0A1B0GUV8,10
A0A411D538,21
A0A5K1VDZ0,10
A0A9L9PY68,23
A0N4X2,17
A6NCW7,10
A6NL88,10
M0R2J8,11
O14526,10
O14817,10
O14901,8
O15021,6
O15144,28
O15173,10
O43426,9
O60309,16
P00491,10
P01135,10
P08311,10
P0DPI4,12
P0DUD4,11
P17152,12
P20036,10
P30542,10
P37088,10
P48764,10
P54277,10
P62195,10
P68366,10
P78334,10
P78386,10
P82980,13
Q13838,10
Q15615,10
Q309B1,10
Q3MIT2,10
Q3YBR2,10
Q53HC9,5
Q5H9L4,12
Q5JTW2,6
Q5T0L3,8
Q6S8J7,8
Q6TGC4,10
Q7RTU4,10
Q7Z5M8,10
Q7Z6M1,10
Q86UE6,10
Q8IWU9,10
Q8IZL2,11
Q8N2H4,11
Q8N3Y3,10
Q8N5S9,6
Q8N6N6,9
Q8N9V2,14
Q8NCI6,6
Q8NCT3,10
Q8NDC4,10
Q8NDN9,11
Q8NFH4,5
Q8WXF5,10
Q8WZ84,10
Q92828,14
Q96B01,8
Q96CA5,10
Q96HD9,10
Q96HQ2,14
Q96MC9,14
Q96T17,22
Q99712,14
Q99848,11
Q99963,16
Q9BQB6,10
Q9BR76,11
Q9BT43,10
Q9BVK6,10
Q9BY71,10
Q9BZE3,8
Q9BZQ8,10
Q9H8W4,10
Q9HCN2,14
Q9NQX0,22
Q9NR99,6
Q9NS86,10
Q9NUJ3,10
Q9NY46,7
Q9NY65,10
Q9NZC4,10
Q9P031,12
Q9P2J9,10
Q9UET6,10
Q9UHF5,10
Q9UHY1,6
Q9UIQ6,10
Q9UK58,16
Q9UKV0,10
Q9UL18,10
Q9Y244,25
Q9Y294,13
Q9Y698,9
Q9Y6W8,10
A0A075B6Y1,17
A0A0A0MTA3,18
A0A3B3IRS2,21
A5YM72,10
A6NCL7,10
A6XGL0,10
C9JJH3,10
O00222,10
O00624,10
O00755,10
O15194,16
O15198,16
O15305,12
O15342,11
O43752,10
O75460,6
O75678,10
O95785,11
P0C7N1,10
P0DP01,10
P13929,11
P18440,11
P20774,6
P30837,6
P35269,14
P46777,10
P49862,10
P51689,10
P51828,9
P52798,10
P55082,6
P62316,10
P62891,18
Q04118,5
Q06730,5
Q06732,5
Q0P140,14
Q13268,6
Q13772,16
Q14088,10
Q15256,14
Q15560,11
Q16671,6
Q1EHB4,11
Q496H8,10
Q53EZ4,11
Q53GT1,10
Q53QZ3,16
Q5JTD7,8
Q5STR5,31
Q5TF39,10
Q5VZ52,10
Q68DI1,5
Q6STE5,10
Q6UWI2,24
Q6ZP01,11
Q86WG3,10
Q86WZ0,11
Q86YR6,6
Q8IV33,11
Q8IW40,10
Q8IWE2,17
Q8IXZ2,6
Q8IZD4,10
Q8N146,10
Q8N4B5,11
Q8N5G0,9
Q8N813,29
Q8NC60,9
Q8NCX0,28
Q8NEB7,10
Q8NGR3,10
Q8NGV0,10
Q8NGX2,10
Q8TDV2,10
Q8WXE1,6
Q8WXS8,8
Q92685,10
Q96C11,10
Q96E11,10
Q96GX1,10
Q96JA4,21
Q9BQ31,14
Q9BX93,10
Q9BYV6,16
Q9GZM5,11
Q9GZT5,10
Q9H115,11
Q9H2X8,25
Q9H346,10
Q9H5I1,9
Q9NQR9,11
Q9NRY2,14
Q9NS75,10
Q9UDX3,6
Q9UHI5,10
Q9UMS6,10
Q9UPX8,6
Q9Y394,10
Q9Y6Q9,10
A0A0B4J241,10
A0A0J9YX57,10
A0A6Q8PGS0,8
B3EWG6,19
O14544,10
O15156,10
O15165,10
O15417,9
O43237,10
O43915,10
O60427,10
O75486,10
O94889,10
O95757,10
O95847,10
P07327,10
P09543,12
P0C7I0,10
P0DMC3,29
P0DPH9,12
P10589,10
P13798,8
P21399,10
P24752,10
P29274,10
P29350,14
P30040,10
P32247,10
P35030,10
P39748,10
P40227,10
P48539,10
P51149,10
P55055,10
P55285,10
P56178,8
P57053,10
P58499,10
P78417,10
Q16394,10
Q2TV78,10
Q5T7R7,29
Q5TA50,10
Q5TYW1,5
Q5UE93,10
Q5VTL8,14
Q68CL5,10
Q6IQ55,8
Q6ZS02,2
Q7L5A8,10
Q7RTS1,10
Q7RTS3,10
Q86SM5,10
Q86W33,10
Q86Y28,14
Q8IU81,10
Q8IVS8,10
Q8N4F0,11
Q8N4S9,10
Q8N812,14
Q8N8U3,6
Q8N9F7,10
Q8NA61,10
Q8NAG6,10
Q8NC54,22
Q8NDY8,14
Q8NEC7,10
Q8NHU0,10
Q8NI99,10
Q8TC07,16
Q8TC56,11
Q8WUX1,16
Q92529,10
Q969H9,14
Q969M1,10
Q969M7,10
Q96C90,10
Q96CN4,10
Q96DC7,10
Q96EG3,5
Q96EY4,11
Q96GS4,11
Q99784,13
Q9BPW4,11
Q9BRG1,10
Q9BTY2,10
Q9BY19,21
Q9BZM4,10
Q9GZU0,14
Q9NPI9,14
Q9NQ11,6
Q9NS68,10
Q9NWR8,12
Q9NXK8,5
Q9UBQ0,10
Q9UHC7,10
Q9ULH4,11
Q9Y4C8,10
Q9Y5W8,10
Q9Y5Z9,10
A0A075B706,0
A0A1B0GTB2,26
A6NCL1,13
A6NHM9,10
A6NJG6,8
A6NJY1,16
A6NLU0,10
O14792,8
O14929,9
O15537,10
O15552,10
O43513,10
O43555,14
O60573,10
O75326,10
O75971,11
O76015,10
O76031,10
O94769,9
O94875,9
O94916,10
O94956,10
O95274,10
O95455,10
P01116,10
P01594,10
P03999,10
P04049,6
P07992,10
P08134,10
P09417,10
P09544,10
P0DJH9,16
P32302,10
P41159,10
P48047,10
P49207,10
P49593,10
P81274,6
Q02252,6
Q07020,10
Q07864,10
Q10472,11
Q14315,10
Q15057,10
Q15121,16
Q2M2I8,6
Q4G163,11
Q4ZIN3,10
Q53H64,10
Q5GLZ8,11
Q5SSQ6,11
Q5T0D9,10
Q5VUG0,10
Q5VZR4,10
Q63HM9,10
Q69YU3,6
Q6IPT4,6
Q6P582,10
Q6UXQ4,16
Q6ZMP0,10
Q6ZS62,11
Q76I76,6
Q7L8A9,10
Q7RTM1,16
Q7Z6G3,10
Q86SQ0,10
Q86YH2,6
Q86YL5,17
Q8IXM2,10
Q8N9F0,9
Q8TAS1,6
Q8TF21,14
Q8WUF8,10
Q92845,10
Q96G97,11
Q96GE4,16
Q96GL9,27
Q96KX2,14
Q96M98,9
Q96R67,10
Q96RF0,10
Q96SB4,6
Q96T83,16
Q99615,6
Q9BUA6,10
Q9BWS9,6
Q9GZV5,10
Q9H201,9
Q9HAT2,10
Q9HBH9,6
Q9NRS6,10
Q9NUD7,10
Q9UBS8,14
Q9UGC6,10
Q9UJJ9,10
Q9UL17,10
Q9Y5P0,10
Q9Y5Y6,10
Q9Y6L7,6
A0A075B6N4,10
A0A075B6T7,10
A0A2U3TZM8,9
A3KN83,8
A5PLN9,8
A6NKG5,9
B2RXF0,16
O00253,10
O15056,9
O43240,10
O75179,20
O75528,11
P01138,16
P01766,10
P0DUD3,11
P11912,6
P23434,11
P36952,16
P49407,10
P51816,11
P59773,11
P61204,10
Q01151,10
Q075Z2,10
Q13018,10
Q13045,10
Q13615,8
Q13822,10
Q14406,10
Q15031,10
Q16678,10
Q2VYF4,12
Q56VL3,11
Q5K651,5
Q5SWW7,29
Q5T6J7,10
Q5TEC6,10
Q5THR3,7
Q5VXU9,10
Q6NUK1,10
Q6NV75,10
Q6NZ67,10
Q6PK81,6
Q6UW56,6
Q6UXR6,14
Q6ZMI3,13
Q6ZTR5,16
Q86SK9,10
Q86T24,10
Q86YH6,11
Q86YW7,10
Q8IX01,13
Q8N335,10
Q8N4H0,10
Q8N6M0,19
Q8TB24,10
Q8TD06,10
Q8TD26,8
Q8TEB1,11
Q8TEX9,10
Q8WUM9,10
Q92888,10
Q92905,10
Q93084,6
Q969X1,11
Q96DE0,10
Q96DZ9,12
