Experiment,Family,Mean_KS,95% CI Low,95% CI High,Mean p-value,Median p-value
ha_based,PF04900,1.0,1.0,1.0,1.0,1.0
ha_based,PF07546,0.5883611111111111,0.4166666666666667,0.8611111111111112,0.0007548463878787679,1.8604241224847277e-05
ha_based,PF00132,1.0,1.0,1.0,1.0,1.0
ha_based,PF12205,1.0,1.0,1.0,1.0,1.0
ha_based,PF01425,0.9986666666666667,1.0,1.0,0.10200000000000001,0.09999999999999999
ha_based,PF02897,1.0,1.0,1.0,1.0,1.0
ha_based,PF06907,1.0,1.0,1.0,1.0,1.0
ha_based,PF03942,1.0,1.0,1.0,1.0,1.0
ha_based,PF01997,1.0,1.0,1.0,1.0,1.0
ha_based,PF01131,1.0,1.0,1.0,1.0,1.0
ha_based,PF12287,1.0,1.0,1.0,1.0,1.0
ha_based,PF16070,0.9985,1.0,1.0,2.5622983827318183e-05,1.0825088224469026e-05
ha_based,PF15636,0.9996666666666667,1.0,1.0,0.002212121212121212,0.0021645021645021645
ha_based,PF08782,0.7058333333333333,0.3333333333333333,1.0,0.17723809523809522,0.14285714285714285
ha_based,PF00291,0.9555,0.8,1.0,0.0007010110632401652,1.0825088224469026e-05
ha_based,PF00330,1.0,1.0,1.0,0.10000000000000002,0.09999999999999999
ha_based,PF00023,0.2104890093345378,0.13279132791327913,0.2821514604034929,1.2553357494234844e-13,1.2800333927243882e-65
ha_based,PF08150,0.9934000000000001,0.9,1.0,3.938167096061832e-05,1.0825088224469026e-05
ha_based,PF05474,1.0,1.0,1.0,1.0,1.0
ha_based,PF03712,0.9115000000000001,0.6666666666666666,1.0,0.02988961038961039,0.0021645021645021645
ha_based,PF10482,1.0,1.0,1.0,1.0,1.0
ha_based,PF02786,0.7161904761904762,0.38095238095238093,0.9523809523809523,0.008452261061617103,1.94917204154521e-05
ha_based,PF05805,0.6644666666666665,0.6,0.6666666666666666,0.00204217593215776,0.0018373939965002021
ha_based,PF21323,0.9995,1.0,1.0,0.0022359307359307357,0.0021645021645021645
ha_based,PF10226,1.0,1.0,1.0,1.0,1.0
ha_based,PF12125,1.0,1.0,1.0,1.0,1.0
ha_based,PF00387,0.25865714285714286,0.18095238095238095,0.34285714285714286,0.009557775262066451,0.0018469328038675304
ha_based,PF02181,0.7315523809523808,0.5619047619047619,0.8666666666666667,1.9760077558527876e-12,1.1591453901125615e-27
ha_based,PF17900,0.9222575757575757,0.8181818181818182,1.0,9.355623587314235e-21,1.639256841040889e-30
ha_based,PF01702,1.0,1.0,1.0,1.0,1.0
ha_based,PF16910,1.0,1.0,1.0,1.0,1.0
ha_based,PF00549,0.897,0.5,1.0,0.04545887445887446,0.0021645021645021645
ha_based,PF19033,0.6808333333333333,0.5,1.0,0.22414069264069258,0.14285714285714285
ha_based,PF02574,0.9466666666666667,0.6666666666666666,1.0,0.17850000000000002,0.09999999999999999
ha_based,PF15920,1.0,1.0,1.0,1.0,1.0
ha_based,PF02014,0.6766666666666667,0.3333333333333333,1.0,0.5664999999999998,0.6
ha_based,PF08454,0.999,1.0,1.0,0.10150000000000002,0.09999999999999999
ha_based,PF15250,1.0,1.0,1.0,1.0,1.0
ha_based,PF14551,0.9996,1.0,1.0,1.5136910388974757e-08,1.2893450075787698e-08
ha_based,PF13854,0.7093809523809524,0.38095238095238093,0.9523809523809523,0.009982179605951923,1.94917204154521e-05
ha_based,PF16891,1.0,1.0,1.0,0.10000000000000002,0.09999999999999999
ha_based,PF01299,0.9548000000000001,0.7975000000000002,1.0,0.000624196237199333,1.0825088224469026e-05
ha_based,PF10629,0.8106666666666666,0.6666666666666666,1.0,0.3838999999999999,0.6
ha_based,PF07670,1.0,1.0,1.0,0.10000000000000002,0.09999999999999999
ha_based,PF15313,1.0,1.0,1.0,1.0,1.0
ha_based,PF09111,1.0,1.0,1.0,1.0,1.0
ha_based,PF01554,1.0,1.0,1.0,1.0,1.0
ha_based,PF07535,1.0,1.0,1.0,1.0,1.0
ha_based,PF02460,0.46741666666666676,0.3888888888888889,0.5,0.0015668976925965702,0.0005322080152247216
ha_based,PF18911,0.7613333333333334,0.3333333333333333,1.0,0.15696320346320344,0.025974025974025972
ha_based,PF01918,1.0,1.0,1.0,1.0,1.0
ha_based,PF21255,0.96,0.6666666666666666,1.0,0.1597,0.09999999999999999
ha_based,PF04906,0.9346666666666666,0.6666666666666666,1.0,0.19690000000000005,0.09999999999999999
ha_based,PF00151,0.798688888888889,0.7777777777777778,0.8,2.4870491687264467e-14,1.3604354608288125e-14
ha_based,PF01085,1.0,1.0,1.0,0.10000000000000002,0.09999999999999999
ha_based,PF05327,0.9633333333333334,0.6666666666666666,1.0,0.15450000000000003,0.09999999999999999
ha_based,PF12146,0.6371999999999998,0.6,0.9,0.04388658555067222,0.05244755244755244
ha_based,PF10486,1.0,1.0,1.0,1.0,1.0
ha_based,PF21122,1.0,1.0,1.0,1.0,1.0
ha_based,PF01126,1.0,1.0,1.0,1.0,1.0
ha_based,PF00249,0.28240923076923075,0.12307692307692308,0.4431538461538461,0.004044617441334343,1.2693701400056834e-11
ha_based,PF21473,1.0,1.0,1.0,1.0,1.0
ha_based,PF05470,1.0,1.0,1.0,1.0,1.0
ha_based,PF07738,0.6333809523809524,0.42857142857142855,0.8571428571428571,0.006414598805793923,0.00043856370934767223
ha_based,PF08466,1.0,1.0,1.0,0.10000000000000002,0.09999999999999999
ha_based,PF01135,0.986,0.6666666666666666,1.0,0.12100000000000002,0.09999999999999999
ha_based,PF11779,1.0,1.0,1.0,1.0,1.0
ha_based,PF10366,1.0,1.0,1.0,1.0,1.0
ha_based,PF10148,1.0,1.0,1.0,1.0,1.0
ha_based,PF02310,1.0,1.0,1.0,1.0,1.0
ha_based,PF18201,0.9825,0.8333333333333334,1.0,0.006023809523809523,0.0021645021645021645
ha_based,PF15477,0.8646666666666666,0.3333333333333333,1.0,0.29819999999999997,0.09999999999999999
ha_based,PF05324,1.0,1.0,1.0,1.0,1.0
ha_based,PF12624,0.8483809523809525,0.6190476190476191,1.0,0.00013796055556689797,4.265613396531809e-08
ha_based,PF14075,1.0,1.0,1.0,1.0,1.0
ha_based,PF00503,0.9995916666666667,0.9916666666666667,1.0,5.032305379161343e-68,2.2001332500149066e-71
ha_based,PF02182,1.0,1.0,1.0,1.0,1.0
ha_based,PF00586,0.957,0.6666666666666666,1.0,0.16340000000000005,0.09999999999999999
ha_based,PF02192,0.9383333333333332,0.6666666666666666,1.0,0.19080000000000005,0.09999999999999999
ha_based,PF00155,0.5489264705882354,0.3897058823529412,0.6838235294117647,7.695496659382924e-07,2.362627417196343e-19
ha_based,PF05609,1.0,1.0,1.0,1.0,1.0
ha_based,PF18116,1.0,1.0,1.0,1.0,1.0
ha_based,PF00207,0.6483818181818182,0.4727272727272727,0.7636363636363637,6.251954684839466e-06,1.960286794816464e-11
ha_based,PF15268,0.9036666666666666,0.6666666666666666,1.0,0.24330000000000002,0.09999999999999999
ha_based,PF18253,1.0,1.0,1.0,0.10000000000000002,0.09999999999999999
ha_based,PF03029,0.9913333333333333,0.6666666666666666,1.0,0.11300000000000003,0.09999999999999999
ha_based,PF00567,0.406,0.1978021978021978,0.5714285714285714,0.0069462496462681005,1.719136236766671e-07
ha_based,PF00533,0.21683516483516485,0.0989010989010989,0.42857142857142855,0.18178632466406344,0.056641315509878665
ha_based,PF03109,0.9704,0.8,1.0,0.00047315378120331674,1.0825088224469026e-05
ha_based,PF00557,0.2846428571428571,0.14285714285714285,0.5,0.35019222230545083,0.3506382141764657
ha_based,PF01040,0.9926666666666667,1.0,1.0,0.11100000000000003,0.09999999999999999
ha_based,PF13918,1.0,1.0,1.0,0.10000000000000002,0.09999999999999999
ha_based,PF10559,1.0,1.0,1.0,1.0,1.0
ha_based,PF08447,0.9613333333333335,0.8666666666666667,1.0,3.171696266165357e-14,1.7336460615879513e-24
ha_based,PF00883,1.0,1.0,1.0,1.0,1.0
ha_based,PF16176,1.0,1.0,1.0,1.0,1.0
ha_based,PF06309,0.9647,0.8,1.0,0.0008924419234016757,1.0825088224469026e-05
ha_based,PF16619,1.0,1.0,1.0,1.0,1.0
ha_based,PF01852,0.3491428571428571,0.16483516483516483,0.5384615384615384,0.014958689696418958,2.1702841649144543e-05
ha_based,PF09141,1.0,1.0,1.0,1.0,1.0
ha_based,PF00164,1.0,1.0,1.0,1.0,1.0
ha_based,PF12062,0.9976666666666667,1.0,1.0,0.0024978354978354984,0.0021645021645021645
ha_based,PF16422,1.0,1.0,1.0,0.0021645021645021645,0.0021645021645021645
ha_based,PF02736,0.9995,0.9871794871794872,1.0,8.589537963383913e-42,3.4329611587646166e-46
