family,silhouette,experiment
PF12537,1.0,ha_based
PF15825,1.0,ha_based
PF05470,1.0,ha_based
PF00935,1.0,ha_based
PF04056,1.0,ha_based
PF16906,1.0,ha_based
PF09173,1.0,ha_based
PF04922,1.0,ha_based
PF12926,1.0,ha_based
PF12424,1.0,ha_based
PF12595,1.0,ha_based
PF00344,1.0,ha_based
PF16891,1.0,ha_based
PF03521,1.0,ha_based
PF00343,1.0,ha_based
PF08616,1.0,ha_based
PF14976,1.0,ha_based
PF20165,1.0,ha_based
PF11540,1.0,ha_based
PF02812,1.0,ha_based
PF17802,1.0,ha_based
PF15320,1.0,ha_based
PF00117,1.0,ha_based
PF12605,1.0,ha_based
PF08944,1.0,ha_based
PF11601,1.0,ha_based
PF21058,1.0,ha_based
PF02792,1.0,ha_based
PF03952,1.0,ha_based
PF00268,1.0,ha_based
PF14304,1.0,ha_based
PF07683,1.0,ha_based
PF08071,1.0,ha_based
PF12402,1.0,ha_based
PF01269,1.0,ha_based
PF16562,1.0,ha_based
PF06623,1.0,ha_based
PF16898,1.0,ha_based
PF00245,1.0,ha_based
PF01394,1.0,ha_based
PF11825,1.0,ha_based
PF04774,1.0,ha_based
PF12548,1.0,ha_based
PF13469,1.0,ha_based
PF04722,1.0,ha_based
PF01210,1.0,ha_based
PF00162,1.0,ha_based
PF12478,1.0,ha_based
PF08399,1.0,ha_based
PF06465,1.0,ha_based
PF14306,1.0,ha_based
PF16498,1.0,ha_based
PF01776,1.0,ha_based
PF09848,1.0,ha_based
PF12360,1.0,ha_based
PF00077,1.0,ha_based
PF18913,1.0,ha_based
PF00244,1.0,ha_based
PF04960,1.0,ha_based
PF19326,1.0,ha_based
PF17219,1.0,ha_based
PF13472,1.0,ha_based
PF01080,1.0,ha_based
PF02291,1.0,ha_based
PF03441,1.0,ha_based
PF04177,1.0,ha_based
PF13705,1.0,ha_based
PF15194,1.0,ha_based
PF21127,1.0,ha_based
PF08466,1.0,ha_based
PF21473,1.0,ha_based
PF20723,1.0,ha_based
PF00438,1.0,ha_based
PF21485,1.0,ha_based
PF14619,1.0,ha_based
PF12148,1.0,ha_based
PF04719,1.0,ha_based
PF00717,1.0,ha_based
PF07933,1.0,ha_based
PF03530,1.0,ha_based
PF02919,1.0,ha_based
PF12473,1.0,ha_based
PF03836,1.0,ha_based
PF12529,1.0,ha_based
PF13293,1.0,ha_based
PF12569,1.0,ha_based
PF05693,1.0,ha_based
PF01148,1.0,ha_based
PF00274,1.0,ha_based
PF21272,1.0,ha_based
PF16486,1.0,ha_based
PF17856,1.0,ha_based
PF21314,1.0,ha_based
PF12031,1.0,ha_based
PF09744,1.0,ha_based
PF08752,1.0,ha_based
PF18392,1.0,ha_based
PF02450,1.0,ha_based
PF03943,1.0,ha_based
PF01380,1.0,ha_based
PF04739,1.0,ha_based
PF08674,1.0,ha_based
PF18016,1.0,ha_based
PF08332,1.0,ha_based
PF09177,1.0,ha_based
PF12144,1.0,ha_based
PF06480,1.0,ha_based
PF01283,1.0,ha_based
PF06374,1.0,ha_based
PF03792,1.0,ha_based
PF08080,1.0,ha_based
PF17811,1.0,ha_based
PF13884,1.0,ha_based
PF16563,1.0,ha_based
PF16453,1.0,ha_based
PF12052,1.0,ha_based
PF08562,1.0,ha_based
PF11830,1.0,ha_based
PF16017,1.0,ha_based
PF05033,1.0,ha_based
PF05434,1.0,ha_based
PF01991,1.0,ha_based
PF01531,1.0,ha_based
PF14845,1.0,ha_based
PF09443,1.0,ha_based
PF03623,1.0,ha_based
PF01088,1.0,ha_based
PF16534,1.0,ha_based
PF17807,1.0,ha_based
PF00810,1.0,ha_based
